application_number,product_number,chemical_name,dosage
NDA020678,002,CALCIUM CHLORIDE,33MG
NDA020678,002,DEXTROSE,10GM
NDA020678,002,MAGNESIUM CHLORIDE,51MG
NDA020678,002,DIBASIC,261MG
NDA020678,002,SODIUM ACETATE,217MG
NDA020678,002,SODIUM CHLORIDE,112MG
NDA020678,019,AMINO ACIDS,5%
NDA020678,019,CALCIUM CHLORIDE,33MG
NDA020678,019,DEXTROSE,25GM
NDA020678,019,MAGNESIUM CHLORIDE,51MG
NDA020678,019,DIBASIC,261MG
NDA020678,019,SODIUM ACETATE,340MG
NDA020678,019,SODIUM CHLORIDE,59MG
NDA020678,017,AMINO ACIDS,5%
NDA020678,017,CALCIUM CHLORIDE,33MG
NDA020678,017,DEXTROSE,15GM
NDA020678,017,MAGNESIUM CHLORIDE,51MG
NDA020678,017,DIBASIC,261MG
NDA020678,017,SODIUM ACETATE,340MG
NDA020678,017,SODIUM CHLORIDE,59MG
NDA020678,009,AMINO ACIDS,4.25%
NDA020678,009,CALCIUM CHLORIDE,33MG
NDA020678,009,DEXTROSE,10GM
NDA020678,009,MAGNESIUM CHLORIDE,51MG
NDA020678,009,DIBASIC,261MG
NDA020678,009,SODIUM ACETATE,297MG
NDA020678,009,SODIUM CHLORIDE,77MG
NDA020678,021,AMINO ACIDS,5%
NDA020678,021,CALCIUM CHLORIDE,33MG
NDA020678,021,DEXTROSE,35GM
NDA020678,021,MAGNESIUM CHLORIDE,51MG
NDA020678,021,DIBASIC,261MG
NDA020678,021,SODIUM ACETATE,340MG
NDA020678,021,SODIUM CHLORIDE,59MG
NDA020678,005,AMINO ACIDS,2.75%
NDA020678,005,CALCIUM CHLORIDE,33MG
NDA020678,005,DEXTROSE,25GM
NDA020678,005,MAGNESIUM CHLORIDE,51MG
NDA020678,005,DIBASIC,261MG
NDA020678,005,SODIUM ACETATE,217MG
NDA020678,005,SODIUM CHLORIDE,112MG
NDA020678,011,AMINO ACIDS,4.25%
NDA020678,011,CALCIUM CHLORIDE,33MG
NDA020678,011,DEXTROSE,20GM
NDA020678,011,MAGNESIUM CHLORIDE,51MG
NDA020678,011,DIBASIC,261MG
NDA020678,011,SODIUM ACETATE,297MG
NDA020678,011,SODIUM CHLORIDE,77MG
NDA020678,001,AMINO ACIDS,2.75%
NDA020678,001,CALCIUM CHLORIDE,33MG
NDA020678,001,DEXTROSE,5GM
NDA020678,001,MAGNESIUM CHLORIDE,51MG
NDA020678,001,DIBASIC,261MG
NDA020678,001,SODIUM ACETATE,217MG
NDA020678,001,SODIUM CHLORIDE,112MG
NDA020680,001,RITONAVIR,100MG
ANDA217322,002,ENZALUTAMIDE,80MG
ANDA217322,001,ENZALUTAMIDE,40MG
ANDA217337,001,MESALAMINE,1.2GM
ANDA217396,003,LOSARTAN POTASSIUM,100MG
ANDA217396,001,LOSARTAN POTASSIUM,25MG
ANDA217396,002,LOSARTAN POTASSIUM,50MG
ANDA217409,003,TAZOBACTAM,0.375G
ANDA217409,008,TAZOBACTAM,36G
ANDA217409,006,TAZOBACTAM,4.0G
ANDA217409,004,TAZOBACTAM,3.0G
ANDA217409,007,TAZOBACTAM,4.5G
ANDA217409,005,TAZOBACTAM,0.5G
ANDA217413,001,ARSENIC TRIOXIDE,1MG
ANDA217413,002,ARSENIC TRIOXIDE,2MG
ANDA217462,001,COLESTIPOL HYDROCHLORIDE,1GM
ANDA217466,001,OLANZAPINE,10MG
NDA217513,003,TRAMETINIB,4.7MG
NDA217513,002,TRAMETINIB,2MG
ANDA217559,001,THIOTEPA,15MG
NDA020697,001,TOLCAPONE,100MG
NDA020697,002,TOLCAPONE,200MG
NDA217660,001,TEZACAFTOR,80MG
NDA217660,001,IVACAFTOR,59.5MG
NDA217660,002,TEZACAFTOR,100MG
NDA217660,002,IVACAFTOR,75MG
ANDA217695,004,DEXAMETHASONE,1.5MG
ANDA217695,002,DEXAMETHASONE,0.75MG
ANDA217695,007,DEXAMETHASONE,6MG
ANDA217695,005,DEXAMETHASONE,2MG
ANDA217695,003,DEXAMETHASONE,1MG
ANDA217695,001,DEXAMETHASONE,0.5MG
ANDA217695,006,DEXAMETHASONE,4MG
ANDA217704,001,POTASSIUM CHLORIDE,2MEQ
ANDA217753,001,ALVIMOPAN,12MG
ANDA217796,001,SODIUM CHLORIDE,234MG
ANDA217885,001,SUCCINYLCHOLINE CHLORIDE,20MG
NDA020713,001,DESOGESTREL,0.15MG
NDA020713,001,ETHINYL ESTRADIOL,0.02MG
ANDA217914,001,LACTULOSE,10GM
ANDA217914,002,LACTULOSE,20GM
ANDA217917,002,FLUVOXAMINE MALEATE,50MG
ANDA217917,003,FLUVOXAMINE MALEATE,100MG
ANDA217917,001,FLUVOXAMINE MALEATE,25MG
ANDA217992,001,NALOXONE HYDROCHLORIDE,4MG
ANDA218014,002,LACOSAMIDE,100MG
ANDA218014,003,LACOSAMIDE,150MG
ANDA218014,001,LACOSAMIDE,50MG
ANDA218014,004,LACOSAMIDE,200MG
ANDA218017,001,LORATADINE,10MG
ANDA218017,001,PSEUDOEPHEDRINE SULFATE,240MG
ANDA218034,001,DOXYCYCLINE,40MG
ANDA218047,001,ERIBULIN MESYLATE,1MG
ANDA218149,001,METHIMAZOLE,5MG
ANDA218149,002,METHIMAZOLE,10MG
ANDA218194,005,ISOTRETINOIN,35MG
ANDA218194,003,ISOTRETINOIN,25MG
ANDA218194,001,ISOTRETINOIN,10MG
ANDA218194,006,ISOTRETINOIN,40MG
ANDA218194,004,ISOTRETINOIN,30MG
ANDA218194,002,ISOTRETINOIN,20MG
ANDA218247,001,ACETAMINOPHEN,250MG
ANDA218247,001,IBUPROFEN,125MG
ANDA218290,001,CEVIMELINE HYDROCHLORIDE,30MG
ANDA218314,002,HEPTAHYDRATE,4.02GM
ANDA218314,002,MONOHYDRATE,4.14GM
ANDA218314,003,HEPTAHYDRATE,13.4GM
ANDA218314,003,MONOHYDRATE,13.8GM
ANDA218314,001,HEPTAHYDRATE,1.34GM
ANDA218314,001,MONOHYDRATE,1.38GM
ANDA218330,003,PALIPERIDONE,6MG
ANDA218330,001,PALIPERIDONE,1.5MG
ANDA218330,004,PALIPERIDONE,9MG
ANDA218330,002,PALIPERIDONE,3MG
ANDA218359,001,ACETAMINOPHEN,250MG
ANDA218359,001,IBUPROFEN,125MG
NDA020740,001,CERIVASTATIN SODIUM,0.05MG
NDA020740,006,CERIVASTATIN SODIUM,0.8MG
NDA020740,004,CERIVASTATIN SODIUM,0.3MG
NDA020740,002,CERIVASTATIN SODIUM,0.1MG
NDA020740,005,CERIVASTATIN SODIUM,0.4MG
NDA020740,003,CERIVASTATIN SODIUM,0.2MG
ANDA218385,003,BUPROPION HYDROCHLORIDE,200MG
ANDA218385,001,BUPROPION HYDROCHLORIDE,100MG
ANDA218385,002,BUPROPION HYDROCHLORIDE,150MG
ANDA218422,001,DIAZEPAM,10MG
NDA218637,001,TRAZODONE HYDROCHLORIDE,10MG
NDA218771,001,TERIPARATIDE,0.56MG
NDA020753,001,EXEMESTANE,25MG
ANDA218895,001,CETIRIZINE HYDROCHLORIDE,10MG
ANDA218988,004,TRAZODONE HYDROCHLORIDE,300MG
ANDA218988,002,TRAZODONE HYDROCHLORIDE,100MG
ANDA218988,003,TRAZODONE HYDROCHLORIDE,150MG
ANDA218988,001,TRAZODONE HYDROCHLORIDE,50MG
ANDA219222,001,IPRATROPIUM BROMIDE,0.021MG
ANDA219258,005,LISDEXAMFETAMINE DIMESYLATE,50MG
ANDA219258,003,LISDEXAMFETAMINE DIMESYLATE,30MG
ANDA219258,001,LISDEXAMFETAMINE DIMESYLATE,10MG
ANDA219258,006,LISDEXAMFETAMINE DIMESYLATE,60MG
ANDA219258,004,LISDEXAMFETAMINE DIMESYLATE,40MG
ANDA219258,002,LISDEXAMFETAMINE DIMESYLATE,20MG
NDA020771,001,TOLTERODINE TARTRATE,1MG
NDA020771,002,TOLTERODINE TARTRATE,2MG
BLA761072,001,INFLIXIMAB-QBTX,100MG
BLA761077,001,ERENUMAB-AOOE,70MG
BLA761078,001,AVELUMAB,20MG
BLA761079,003,PEGVALIASE-PQPZ,20MG
BLA761079,001,PEGVALIASE-PQPZ,2.5MG
BLA761079,002,PEGVALIASE-PQPZ,10MG
NDA020773,001,SIMETHICONE-CELLULOSE,7.5MG
BLA761108,001,RAVULIZUMAB-CWVZ,300MG
BLA761112,001,CAPLACIZUMAB-YHDP,11MG
BLA761121,001,POLATUZUMAB VEDOTIN-PIIQ,140MG
BLA761121,002,POLATUZUMAB VEDOTIN-PIIQ,30MG
BLA761123,001,ANIFROLUMAB-FNIA,300MG
NDA009631,004,RESERPINE,0.25MG
NDA009631,002,RESERPINE,0.1MG
BLA761139,001,FAM-TRASTUZUMAB DERUXTECAN-NXKI,100MG
BLA761145,001,DARATUMUMAB AND HYALURONIDASE-FIHJ,120MG
BLA761151,001,BIMEKIZUMAB-BKZX,160ML
BLA761180,001,TRALOKINUMAB,150MG
BLA761194,001,AVALGLUCOSIDASE ALFA-NGPT,100MG
NDA020784,001,TRIAMCINOLONE ACETONIDE,0.055MG
BLA761228,001,TEBENTAFUSP-TEBN,100MCG
BLA761235,001,FARICIMAB-SVOA,120MG
BLA761261,001,OLIPUDASE ALFA-RPCP,20MG
BLA761391,001,NEMOLIZUMAB-ILTO,30mg
BLA761449,004,TOCILIZUMAB-AAZG,162MG
BLA761449,002,TOCILIZUMAB-AAZG,200MG
BLA761449,003,TOCILIZUMAB-AAZG,400MG
BLA761449,001,TOCILIZUMAB-AAZG,80MG
NDA020833,003,FLUTICASONE PROPIONATE,0.25MG
NDA020833,001,FLUTICASONE PROPIONATE,0.05MG
NDA020833,002,FLUTICASONE PROPIONATE,0.1MG
NDA009667,001,RESERPINE,0.1MG
NDA009667,002,RESERPINE,0.25MG
NDA020892,001,VALRUBICIN,40MG
NDA020896,001,CAPECITABINE,150MG
NDA020896,002,CAPECITABINE,500MG
NDA020907,001,ESTRADIOL,1MG
NDA020907,001,NORETHINDRONE ACETATE,0.5MG
NDA020907,002,ESTRADIOL,0.5MG
NDA020907,002,NORETHINDRONE ACETATE,0.1MG
NDA020908,001,ESTRADIOL,25MCG
NDA020908,002,ESTRADIOL,10MCG
NDA020931,002,DOFETILIDE,0.25MG
NDA020931,003,DOFETILIDE,0.5MG
NDA020931,001,DOFETILIDE,0.125MG
NDA020939,006,DILTIAZEM HYDROCHLORIDE,420MG
NDA020939,004,DILTIAZEM HYDROCHLORIDE,300MG
NDA020939,002,DILTIAZEM HYDROCHLORIDE,180MG
NDA020939,005,DILTIAZEM HYDROCHLORIDE,360MG
NDA020939,003,DILTIAZEM HYDROCHLORIDE,240MG
NDA020939,001,DILTIAZEM HYDROCHLORIDE,120MG
NDA020954,001,BUSULFAN,6MG
NDA020966,001,ITRACONAZOLE,10MG
NDA021003,001,LAMIVUDINE,100MG
NDA021022,001,CICLOPIROX,8%
NDA009864,001,HYDROCORTISONE,50MG
BLA021106,005,PEGVISOMANT,30MG
BLA021106,003,PEGVISOMANT,20MG
BLA021106,001,PEGVISOMANT,10MG
BLA021106,004,PEGVISOMANT,25MG
BLA021106,002,PEGVISOMANT,15MG
NDA021117,001,CALCIUM CHLORIDE,100MG
NDA021160,003,CALCIUM ACETATE,667MG
NDA021160,001,CALCIUM ACETATE,333.5MG
NDA021160,002,CALCIUM ACETATE,667MG
NDA021208,003,MIRTAZAPINE,45MG
NDA021208,001,MIRTAZAPINE,15MG
NDA021208,002,MIRTAZAPINE,30MG
NDA021258,001,ESTRADIOL,0.045MG
NDA021258,001,LEVONORGESTREL,0.015MG
NDA021266,002,VORICONAZOLE,200MG
NDA021266,001,VORICONAZOLE,50MG
NDA021285,001,OXCARBAZEPINE,300MG
NDA010124,002,RESERPINE,0.25MG
NDA010124,001,RESERPINE,0.1MG
NDA021357,003,GADOBENATE DIMEGLUMINE,7.935GM
NDA021357,001,GADOBENATE DIMEGLUMINE,2.645GM
NDA021357,004,GADOBENATE DIMEGLUMINE,10.58GM
NDA021357,002,GADOBENATE DIMEGLUMINE,5.29GM
NDA010155,002,AMBENONIUM CHLORIDE,10MG
NDA021379,001,LEUPROLIDE ACETATE,22.5MG
NDA021380,001,LIDOCAINE HYDROCHLORIDE,2%
NDA021385,001,SERTACONAZOLE NITRATE,2%
NDA021387,002,ASPIRIN,81MG
NDA021387,002,PRAVASTATIN SODIUM,40MG
NDA021387,005,ASPIRIN,325MG
NDA021387,005,PRAVASTATIN SODIUM,40MG
NDA021387,003,ASPIRIN,81MG
NDA021387,003,PRAVASTATIN SODIUM,80MG
NDA021387,001,ASPIRIN,81MG
NDA021387,001,PRAVASTATIN SODIUM,20MG
NDA021387,006,ASPIRIN,325MG
NDA021387,006,PRAVASTATIN SODIUM,80MG
NDA021387,004,ASPIRIN,325MG
NDA021387,004,PRAVASTATIN SODIUM,20MG
NDA021410,003,METFORMIN HYDROCHLORIDE,500MG
NDA021410,001,METFORMIN HYDROCHLORIDE,500MG
NDA021410,004,METFORMIN HYDROCHLORIDE,1GM
NDA021410,002,METFORMIN HYDROCHLORIDE,500MG
NDA021410,005,METFORMIN HYDROCHLORIDE,1GM
NDA010251,001,MECAMYLAMINE HYDROCHLORIDE,2.5MG
NDA021504,001,EPINEPHRINE,1.05MG
NDA021504,001,LIDOCAINE HYDROCHLORIDE,100MG
NDA021605,001,DESLORATADINE,5MG
NDA021605,001,PSEUDOEPHEDRINE SULFATE,240MG
NDA021620,001,DEXTROMETHORPHAN HYDROBROMIDE,60MG
NDA021620,001,GUAIFENESIN,1.2GM
NDA021620,002,DEXTROMETHORPHAN HYDROBROMIDE,30MG
NDA021620,002,GUAIFENESIN,600MG
NDA021627,001,MEMANTINE HYDROCHLORIDE,2MG
NDA010460,005,PHENMETRAZINE HYDROCHLORIDE,25MG
NDA021700,004,GLIMEPIRIDE,2MG
NDA021700,004,ROSIGLITAZONE MALEATE,8MG
NDA021700,002,GLIMEPIRIDE,2MG
NDA021700,002,ROSIGLITAZONE MALEATE,4MG
NDA021700,005,GLIMEPIRIDE,4MG
NDA021700,005,ROSIGLITAZONE MALEATE,8MG
NDA021700,003,GLIMEPIRIDE,4MG
NDA021700,003,ROSIGLITAZONE MALEATE,4MG
NDA021700,001,GLIMEPIRIDE,1MG
NDA021700,001,ROSIGLITAZONE MALEATE,4MG
NDA021711,002,GADOFOSVESET TRISODIUM,3660MG
NDA021711,001,GADOFOSVESET TRISODIUM,2440MG
NDA021712,001,FAMOTIDINE,20MG
NDA021712,002,FAMOTIDINE,40MG
NDA021775,001,ALVIMOPAN,12MG
NDA021799,001,QUININE SULFATE,324MG
NDA021830,001,MESALAMINE,800MG
NDA021835,001,CLOBETASOL PROPIONATE,0.05%
NDA021844,001,DESONIDE,0.05%
ANDA040143,001,ACETAMINOPHEN,650MG
ANDA040143,001,HYDROCODONE BITARTRATE,10MG
NDA021866,001,ARIPIPRAZOLE,9.75MG
NDA010598,002,DOXYLAMINE SUCCINATE,10MG
NDA010598,002,PYRIDOXINE HYDROCHLORIDE,10MG
NDA021875,003,ARMODAFINIL,150MG
NDA021875,001,ARMODAFINIL,50MG
NDA021875,004,ARMODAFINIL,250MG
NDA021875,002,ARMODAFINIL,100MG
NDA021875,005,ARMODAFINIL,200MG
NDA021887,001,ORLISTAT,60MG
NDA021902,001,SINECATECHINS,15%
NDA021937,001,EFAVIRENZ,600MG
NDA021937,001,EMTRICITABINE,200MG
NDA021937,001,TENOFOVIR DISOPROXIL FUMARATE,300MG
NDA021949,001,BUDESONIDE,0.08MG
NDA021949,002,BUDESONIDE,0.16MG
NDA021951,006,ISOTRETINOIN,35MG
NDA021951,004,ISOTRETINOIN,40MG
NDA021951,002,ISOTRETINOIN,20MG
NDA021951,005,ISOTRETINOIN,25MG
NDA021951,003,ISOTRETINOIN,30MG
NDA021951,001,ISOTRETINOIN,10MG
NDA021990,005,VALSARTAN,320MG
NDA021990,003,VALSARTAN,160MG
NDA021990,004,VALSARTAN,320MG
NDA021990,002,VALSARTAN,160MG
NDA021994,001,TRAVOPROST,0.004%
NDA022010,001,ARTICAINE HYDROCHLORIDE,4%
NDA022010,001,EPINEPHRINE BITARTRATE,4%
NDA022014,001,ESTRADIOL,1.53MG
NDA022052,001,ZILEUTON,600MG
NDA022075,002,ISTRADEFYLLINE,40MG
NDA022075,001,ISTRADEFYLLINE,20MG
NDA010775,003,PERPHENAZINE,8MG
NDA010775,001,PERPHENAZINE,2MG
NDA010775,004,PERPHENAZINE,16MG
ANDA040500,002,PROMETHAZINE HYDROCHLORIDE,25MG
NDA010775,002,PERPHENAZINE,4MG
NDA022088,001,TEMSIROLIMUS,25MG
NDA022108,002,BUPROPION HYDROBROMIDE,348MG
NDA022108,003,BUPROPION HYDROBROMIDE,522MG
NDA022108,001,BUPROPION HYDROBROMIDE,174MG
NDA022129,001,BENZYL ALCOHOL,5%
NDA010796,002,DESERPIDINE,0.25MG
NDA010796,001,DESERPIDINE,0.1MG
NDA022154,001,TELBIVUDINE,100MG
NDA022160,002,OXALIPLATIN,100MG
NDA022160,001,OXALIPLATIN,50MG
NDA022193,001,CALCIUM CHLORIDE,0.154MG
NDA022193,001,DEXTROSE,0.92MG
NDA022193,001,MAGNESIUM CHLORIDE,0.2MG
NDA022193,001,OXIGLUTATIONE,0.184MG
NDA022193,001,POTASSIUM CHLORIDE,0.38MG
NDA022193,001,SODIUM BICARBONATE,2.1MG
NDA022193,001,SODIUM CHLORIDE,7.14MG
NDA022193,001,SODIUM PHOSPHATE,0.42MG
NDA022198,001,GRANISETRON,3.1MG
NDA022207,001,MORPHINE SULFATE,15MG
NDA022207,002,MORPHINE SULFATE,30MG
NDA022234,006,DOCETAXEL,120MG
NDA022234,004,DOCETAXEL,20MG
NDA022234,002,DOCETAXEL,80MG
NDA022234,007,DOCETAXEL,160MG
NDA022234,005,DOCETAXEL,80MG
NDA022234,003,DOCETAXEL,160MG
NDA022234,001,DOCETAXEL,20MG
NDA022264,004,PALIPERIDONE PALMITATE,156MG
NDA022264,002,PALIPERIDONE PALMITATE,78MG
NDA022264,005,PALIPERIDONE PALMITATE,234MG
NDA022264,003,PALIPERIDONE PALMITATE,117MG
NDA022264,001,PALIPERIDONE PALMITATE,39MG
NDA010926,001,PROMETHAZINE HYDROCHLORIDE,25MG
NDA010926,002,PROMETHAZINE HYDROCHLORIDE,12.5MG
NDA022273,001,FLUDARABINE PHOSPHATE,10MG
NDA022278,001,TRYPAN BLUE,0.15%
NDA022321,005,MORPHINE SULFATE,80MG
NDA022321,005,NALTREXONE HYDROCHLORIDE,3.2MG
NDA022321,003,MORPHINE SULFATE,50MG
NDA022321,003,NALTREXONE HYDROCHLORIDE,2MG
NDA022321,001,MORPHINE SULFATE,20MG
NDA022321,001,NALTREXONE HYDROCHLORIDE,0.8MG
NDA022321,006,MORPHINE SULFATE,100MG
NDA022321,006,NALTREXONE HYDROCHLORIDE,4MG
NDA022321,004,MORPHINE SULFATE,60MG
NDA022321,004,NALTREXONE HYDROCHLORIDE,2.4MG
NDA022321,002,MORPHINE SULFATE,30MG
NDA022321,002,NALTREXONE HYDROCHLORIDE,1.2MG
NDA022327,001,LANSOPRAZOLE,15MG
NDA022328,001,ZOLPIDEM TARTRATE,1.75MG
NDA022328,002,ZOLPIDEM TARTRATE,3.5MG
NDA022352,001,COLCHICINE,0.6MG
NDA022370,004,TRAMADOL HYDROCHLORIDE,150MG
NDA022370,002,TRAMADOL HYDROCHLORIDE,200MG
NDA022370,003,TRAMADOL HYDROCHLORIDE,300MG
NDA022370,001,TRAMADOL HYDROCHLORIDE,100MG
NDA010997,003,PROPOXYPHENE HYDROCHLORIDE,65MG
NDA010997,001,PROPOXYPHENE HYDROCHLORIDE,32MG
NDA022417,001,RITONAVIR,100MG
NDA011011,006,METHOCARBAMOL,750MG
NDA011011,004,METHOCARBAMOL,500MG
NDA022468,001,PRALATREXATE,20MG
NDA022468,002,PRALATREXATE,40MG
NDA022535,001,PIRFENIDONE,267MG
NDA022581,001,CALCIUM ACETATE,667MG
ANDA040001,002,METHAZOLAMIDE,50MG
ANDA040001,001,METHAZOLAMIDE,25MG
ANDA040010,001,HYDROXYZINE HYDROCHLORIDE,10MG
ANDA040015,005,CYCLOPHOSPHAMIDE,2GM
ANDA040015,003,CYCLOPHOSPHAMIDE,500MG
ANDA040015,001,CYCLOPHOSPHAMIDE,100MG
ANDA040015,004,CYCLOPHOSPHAMIDE,1GM
ANDA040015,002,CYCLOPHOSPHAMIDE,200MG
NDA011145,004,CHLOROTHIAZIDE,250MG
NDA011145,002,CHLOROTHIAZIDE,500MG
ANDA040040,001,TRIAMCINOLONE ACETONIDE,0.025%
ANDA040043,001,EDROPHONIUM CHLORIDE,10MG
ANDA040045,001,QUINIDINE SULFATE,300MG
ANDA040075,001,CYCLOPENTOLATE HYDROCHLORIDE,1%
ANDA040091,001,SULFADIAZINE,500MG
ANDA040100,001,ACETAMINOPHEN,500MG
ANDA040100,001,HYDROCODONE BITARTRATE,10MG
NDA011208,001,CYANOCOBALAMIN,0.5MG
NDA011208,001,TANNIC ACID,2.3MG
NDA011208,001,ZINC ACETATE,1MG
ANDA040151,001,CODEINE PHOSPHATE,10MG
ANDA040151,001,PROMETHAZINE HYDROCHLORIDE,6.25MG
ANDA040155,001,ACETAMINOPHEN,650MG
ANDA040155,001,HYDROCODONE BITARTRATE,7.5MG
ANDA040163,001,MEPERIDINE HYDROCHLORIDE,10MG
ANDA040165,001,CYCLOPENTOLATE HYDROCHLORIDE,2%
ANDA040171,001,ACETAMINOPHEN,325MG
ANDA040171,001,OXYCODONE HYDROCHLORIDE,5MG
ANDA040183,001,METHYLPREDNISOLONE,4MG
NDA011270,002,FURAZOLIDONE,100MG
ANDA040191,002,MEPERIDINE HYDROCHLORIDE,100MG
ANDA040191,001,MEPERIDINE HYDROCHLORIDE,50MG
ANDA040230,001,DICYCLOMINE HYDROCHLORIDE,20MG
ANDA040241,002,METHADONE HYDROCHLORIDE,10MG
ANDA040241,001,METHADONE HYDROCHLORIDE,5MG
ANDA040254,001,TRIHEXYPHENIDYL HYDROCHLORIDE,2MG
ANDA040254,002,TRIHEXYPHENIDYL HYDROCHLORIDE,5MG
ANDA040260,001,ASPIRIN,325MG
ANDA040260,001,OXYCODONE HYDROCHLORIDE,4.5MG
ANDA040260,001,OXYCODONE TEREPHTHALATE,0.38MG
ANDA040278,001,FLUOROURACIL,2.5GM
ANDA040278,002,FLUOROURACIL,5GM
ANDA040306,001,METHYLPHENIDATE HYDROCHLORIDE,10MG
ANDA040313,001,PREDNISOLONE,15MG
ANDA040321,003,METHYLPHENIDATE HYDROCHLORIDE,20MG
ANDA040321,001,METHYLPHENIDATE HYDROCHLORIDE,5MG
ANDA040321,002,METHYLPHENIDATE HYDROCHLORIDE,10MG
NDA005691,002,VERATRUM VIRIDE ROOT,130CSR
ANDA040353,002,SPIRONOLACTONE,100MG
ANDA040353,003,SPIRONOLACTONE,25MG
ANDA040353,001,SPIRONOLACTONE,50MG
ANDA040356,001,ACETAMINOPHEN,500MG
ANDA040356,001,HYDROCODONE BITARTRATE,10MG
ANDA040358,001,ACETAMINOPHEN,660MG
ANDA040358,001,HYDROCODONE BITARTRATE,10MG
ANDA040365,001,DEXTROAMPHETAMINE SULFATE,5MG
ANDA040373,001,HYDRALAZINE HYDROCHLORIDE,20MG
ANDA040378,001,NIACIN,500MG
ANDA040394,001,ACETAMINOPHEN,500MG
ANDA040394,001,BUTALBITAL,50MG
ANDA040394,001,CAFFEINE,40MG
ANDA040399,001,PREDNISOLONE,15MG
ANDA040402,001,PHENTERMINE HYDROCHLORIDE,37.5MG
ANDA040410,001,METHYLPHENIDATE HYDROCHLORIDE,20MG
ANDA040420,001,PHENYTOIN,125MG
ANDA040421,001,CARISOPRODOL,350MG
ANDA040432,001,ACETAMINOPHEN,325MG
ANDA040432,001,HYDROCODONE BITARTRATE,7.5MG
ANDA040441,001,ACETAMINOPHEN,500MG
ANDA040441,001,CODEINE PHOSPHATE,30MG
NDA005725,001,MENADIOL SODIUM DIPHOSPHATE,10MG
ANDA040465,001,DICYCLOMINE HYDROCHLORIDE,10MG
NDA011483,004,ASPIRIN,356.4MG
NDA011483,004,CAFFEINE,30MG
NDA011483,004,DIHYDROCODEINE BITARTRATE,16MG
ANDA040489,002,METHOCARBAMOL,750MG
ANDA040489,001,METHOCARBAMOL,500MG
ANDA040493,001,ACETAMINOPHEN,500MG
ANDA040493,001,HYDROCODONE BITARTRATE,5MG
ANDA040500,001,PROMETHAZINE HYDROCHLORIDE,12.5MG
NDA011522,009,AMPHETAMINE ASPARTATE,1.25MG
NDA011522,009,AMPHETAMINE SULFATE,1.25MG
NDA011522,009,DEXTROAMPHETAMINE SACCHARATE,1.25MG
NDA011522,009,DEXTROAMPHETAMINE SULFATE,1.25MG
NDA011522,007,AMPHETAMINE ASPARTATE,2.5MG
NDA011522,007,AMPHETAMINE SULFATE,2.5MG
NDA011522,007,DEXTROAMPHETAMINE SACCHARATE,2.5MG
NDA011522,007,DEXTROAMPHETAMINE SULFATE,2.5MG
NDA011522,013,AMPHETAMINE ASPARTATE,3.75MG
NDA011522,013,AMPHETAMINE SULFATE,3.75MG
NDA011522,013,DEXTROAMPHETAMINE SACCHARATE,3.75MG
NDA011522,013,DEXTROAMPHETAMINE SULFATE,3.75MG
NDA011522,011,AMPHETAMINE ASPARTATE,1.875MG
NDA011522,011,AMPHETAMINE SULFATE,1.875MG
NDA011522,011,DEXTROAMPHETAMINE SACCHARATE,1.875MG
NDA011522,011,DEXTROAMPHETAMINE SULFATE,1.875MG
NDA011522,008,AMPHETAMINE ASPARTATE,5MG
NDA011522,008,AMPHETAMINE SULFATE,5MG
NDA011522,008,DEXTROAMPHETAMINE SACCHARATE,5MG
NDA011522,008,DEXTROAMPHETAMINE SULFATE,5MG
NDA011522,012,AMPHETAMINE ASPARTATE,3.125MG
NDA011522,012,AMPHETAMINE SULFATE,3.125MG
NDA011522,012,DEXTROAMPHETAMINE SACCHARATE,3.125MG
NDA011522,012,DEXTROAMPHETAMINE SULFATE,3.125MG
NDA011522,010,AMPHETAMINE ASPARTATE,7.5MG
NDA011522,010,AMPHETAMINE SULFATE,7.5MG
NDA011522,010,DEXTROAMPHETAMINE SACCHARATE,7.5MG
NDA011522,010,DEXTROAMPHETAMINE SULFATE,7.5MG
ANDA040520,001,ACETAMINOPHEN,500MG
ANDA040520,001,HYDROCODONE BITARTRATE,7.5MG
ANDA040527,001,PHENTERMINE HYDROCHLORIDE,37.5MG
ANDA040537,001,CYPROHEPTADINE HYDROCHLORIDE,4MG
ANDA040553,001,BETHANECHOL CHLORIDE,10MG
NDA011557,001,PERPHENAZINE,16MG
ANDA040573,001,PHENYTOIN SODIUM,50MG
ANDA040593,001,PROMETHAZINE HYDROCHLORIDE,25MG
ANDA040593,002,PROMETHAZINE HYDROCHLORIDE,50MG
ANDA040608,003,ACETAMINOPHEN,300MG
ANDA040608,003,OXYCODONE HYDROCHLORIDE,7.5MG
ANDA040608,001,ACETAMINOPHEN,300MG
ANDA040608,001,OXYCODONE HYDROCHLORIDE,2.5MG
ANDA040608,004,ACETAMINOPHEN,300MG
ANDA040608,004,OXYCODONE HYDROCHLORIDE,10MG
ANDA040608,002,ACETAMINOPHEN,300MG
ANDA040608,002,OXYCODONE HYDROCHLORIDE,5MG
NDA011600,003,TRIAMCINOLONE ACETONIDE,0.025%
NDA011600,001,TRIAMCINOLONE ACETONIDE,0.1%
ANDA040621,001,PHENYTOIN SODIUM,100MG
NDA011602,003,TRIAMCINOLONE ACETONIDE,0.025%
NDA011602,001,TRIAMCINOLONE ACETONIDE,0.1%
ANDA040642,001,METHSCOPOLAMINE BROMIDE,2.5MG
